city,cd,admdate,year,month,day,dow,date,season,count,variable,group,cause,sex,age,mean_temp,temp4lag,pm25,pm25lag,no2,no2lag,o3,o3lag,hum_mean
Toronto,3520,01-Jan-96,1996,1,1,2,1996-01-01,cold,,mort_all_m_36_40,mort,all,Male,36,-2.98,-2.425,10.6481655245467,,28.6394864975684,,11.2620349858387,,89.2777777777778
Toronto,3520,02-Jan-96,1996,1,2,3,1996-01-02,cold,,mort_all_m_36_40,mort,all,Male,36,-11.46,-4.48,8.64376249210969,9.64596400832821,29.4829040640758,29.0611952808221,15.5431193235069,13.4025771546728,64.1388888888889
Toronto,3520,03-Jan-96,1996,1,3,4,1996-01-03,cold,,mort_all_m_36_40,mort,all,Male,36,-13.72,-7.155,8.62407346429751,8.6339179782036,29.4332580374168,29.4580810507463,15.978223372774,15.7606713481404,56.9583333333333
Toronto,3520,04-Jan-96,1996,1,4,5,1996-01-04,cold,,mort_all_m_36_40,mort,all,Male,36,-15.64,-10.95,17.2069272378911,12.9155003510943,41.4118593632567,35.4225587003367,5.76785500546309,10.8730391891185,66.1944444444444
Toronto,3520,05-Jan-96,1996,1,5,6,1996-01-05,cold,,mort_all_m_36_40,mort,all,Male,36,-15.94,-14.19,13.1577457505866,15.1823364942389,41.1865663703955,41.2992128668261,8.99637137186394,7.38211318866352,66.3194444444445
Toronto,3520,06-Jan-96,1996,1,6,7,1996-01-06,cold,,mort_all_m_36_40,mort,all,Male,36,-15.02,-15.08,29.4727677349483,21.3152567427675,55.0915725628803,48.1390694666379,3.38306972585866,6.1897205488613,75.7083333333333
Toronto,3520,07-Jan-96,1996,1,7,1,1996-01-07,cold,,mort_all_m_36_40,mort,all,Male,36,-13.1,-14.925,13.6440435084627,21.5584056217055,34.6794562781218,44.8855144205011,12.6150023049303,7.9990360153945,67.6944444444445
Toronto,3520,08-Jan-96,1996,1,8,2,1996-01-08,cold,,mort_all_m_36_40,mort,all,Male,36,-10.74,-13.7,13.967771907627,13.8059077080449,43.4312130946983,39.0553346864101,10.4915226034334,11.5532624541819,64.0138888888889
Toronto,3520,09-Jan-96,1996,1,9,3,1996-01-09,cold,,mort_all_m_36_40,mort,all,Male,36,-6.04,-11.225,15.8880257995045,14.9278988535658,42.0718212132876,42.751517153993,6.59378880215321,8.5426557027933,83.9027777777778
Toronto,3520,10-Jan-96,1996,1,10,4,1996-01-10,cold,,mort_all_m_36_40,mort,all,Male,36,-10.34,-10.055,10.0979328047103,12.9929793021074,32.9657948340291,37.5188080236584,12.529514874667,9.5616518384101,75.625
Toronto,3520,11-Jan-96,1996,1,11,5,1996-01-11,cold,,mort_all_m_36_40,mort,all,Male,36,-11.22,-9.585,23.5993342485996,16.848633526655,55.904077706418,44.4349362702235,4.78478644151408,8.65715065809053,80.6388888888889
Toronto,3520,12-Jan-96,1996,1,12,6,1996-01-12,cold,,mort_all_m_36_40,mort,all,Male,36,-6.34,-8.485,20.1385776286038,21.8689559386017,47.187869011635,51.5459733590265,6.05911461443339,5.42195052797374,80.9444444444445
Toronto,3520,13-Jan-96,1996,1,13,7,1996-01-13,cold,,mort_all_m_36_40,mort,all,Male,36,-4.02,-7.98,29.9346810854387,25.0366293570212,43.5268408762893,45.3573549439621,2.80050920116515,4.42981190779927,92.4857142857143
Toronto,3520,14-Jan-96,1996,1,14,1,1996-01-14,cold,,mort_all_m_36_40,mort,all,Male,36,-0.98,-5.64,14.3093256647761,22.1220033751074,29.9630854060593,36.7449631411743,9.73642457390845,6.2684668875368,87.0555555555556
Toronto,3520,15-Jan-96,1996,1,15,2,1996-01-15,cold,,mort_all_m_36_40,mort,all,Male,36,-12.72,-6.015,9.19565612594404,11.7524908953601,33.5177722304357,31.7404288182475,17.6370563228233,13.6867404483659,60.3194444444445
Toronto,3520,16-Jan-96,1996,1,16,3,1996-01-16,cold,,mort_all_m_36_40,mort,all,Male,36,-3.76,-5.37,11.060198951621,10.1279275387825,39.1130478962094,36.3154100633226,13.3826323301592,15.5098443264913,73.7101449275362
Toronto,3520,17-Jan-96,1996,1,17,4,1996-01-17,cold,,mort_all_m_36_40,mort,all,Male,36,4.28,-3.295,13.6044398428611,12.332319397241,38.8377845394045,38.9754162178069,7.13057303424757,10.2566026822034,96.0416666666667
Toronto,3520,18-Jan-96,1996,1,18,5,1996-01-18,cold,,mort_all_m_36_40,mort,all,Male,36,7.46,-1.185,14.6152893703992,14.1098646066301,42.6104041342508,40.7240943368276,7.44000273471717,7.28528788448237,90.6527777777778
Toronto,3520,19-Jan-96,1996,1,19,6,1996-01-19,cold,,mort_all_m_36_40,mort,all,Male,36,-1.10935566288717e-17,1.995,6.84153785346365,10.7284136119314,26.507000897022,34.5587025156364,18.2021996934661,12.8211012140917,85.0277777777778
Toronto,3520,20-Jan-96,1996,1,20,7,1996-01-20,cold,,mort_all_m_36_40,mort,all,Male,36,-6.58,1.29,7.80677133736999,7.32415459541682,28.5982876133749,27.5526442551984,18.953185917578,18.577692805522,67.0985915492958
Toronto,3520,21-Jan-96,1996,1,21,1,1996-01-21,cold,,mort_all_m_36_40,mort,all,Male,36,-3.84,-0.739999999999999,10.207098810103,9.00693507373652,26.1840183308041,27.3911529720895,15.1887491235879,17.0709675205829,69.6388888888889
Toronto,3520,22-Jan-96,1996,1,22,2,1996-01-22,cold,,mort_all_m_36_40,mort,all,Male,36,0.26,-2.54,18.8776986996305,14.5423987548668,38.004726558076,32.09437244444,5.2564208987625,10.2225850111752,76.5138888888889
Toronto,3520,23-Jan-96,1996,1,23,3,1996-01-23,cold,,mort_all_m_36_40,mort,all,Male,36,1.84,-2.08,28.3399240803207,23.6088113899756,38.6728690438615,38.3387978009687,1.9568975313857,3.6066592150741,91.0416666666667
Toronto,3520,24-Jan-96,1996,1,24,4,1996-01-24,cold,,mort_all_m_36_40,mort,all,Male,36,-0.16,-0.475,9.02828494718048,18.6841045137506,30.0336880697586,34.3532785568101,10.4618746492043,6.20938609029497,88.9027777777778
